id,st_mass,pl_dens,pl_insol,st_met,planet_name,pl_eqt,size,st_rad,pl_orbper,pl_orbsmax,st_teff,pl_orbeccen,color,label
26600,0.62,1.3,0.34,-0.12,,194.0,6.2,0.63,207.247959,0.5843,4243.0,0.0,#6384eb,Planet 26600
26607,0.62,1.3,0.34,-0.12,,194.0,6.2,0.63,207.247959,0.5843,4243.0,0.0,#6384eb,Planet 26607
26608,0.62,1.3,0.34,-0.12,,194.0,6.2,0.63,207.247959,0.5843,4243.0,0.0,#6384eb,Planet 26608
26612,0.61,1.3,0.66,-0.37,,795.0,6.1,0.6,112.3053,0.409,4402.0,0.04,#6384eb,Planet 26612
26834,0.87,1.3,0.56,-0.24,,220.0,8.7,0.79,384.843022,0.9892,5578.0,0.0,#6384eb,Planet 26834
26837,1.04,1.3,1.1,0.21,,265.0,10.4,1.11,384.843,1.046,5757.0,0.0,#6384eb,Planet 26837
26838,0.89,1.3,0.56,-0.22,,220.0,8.9,0.8,384.847556,0.994,5579.0,0.0,#6384eb,Planet 26838
27622,0.96,1.3,2.88,-0.2,,332.0,9.6,1.42,296.6375817,0.8589,5866.0,0.0,#6384eb,Planet 27622
28330,0.95,1.3,0.82,0.1,,242.0,9.5,0.9,328.2399546,0.9166,5551.0,0.0,#6384eb,Planet 28330
28332,0.95,1.3,0.82,0.1,,242.0,9.5,0.9,328.2399546,0.9166,5551.0,0.0,#6384eb,Planet 28332
28334,0.89,7.53,0.59,0.152,,251.0,8.9,0.9,328.24017,0.898,5191.0,0.346,#f4987a,Planet 28334
28337,0.95,1.3,0.82,0.1,,242.0,9.5,0.9,328.2399546,0.9166,5551.0,0.0,#6384eb,Planet 28337
28339,0.93,1.3,0.59,0.3,,224.0,9.3,0.85,328.240201,0.9084,5234.0,0.0,#6384eb,Planet 28339
29387,0.64,1.3,0.41,-0.46,,205.0,6.4,0.65,267.283301,0.699,4797.0,0.0,#6384eb,Planet 29387
29388,0.73,1.3,0.44,-0.36,,207.0,7.3,0.66,267.282521,0.7279,4926.0,0.0,#6384eb,Planet 29388
